lon,lat,Afternoon,Morning,Evening,StationName
104.2003463,30.56788285,52,48,49,
104.1997415,30.56906026,45,60,52,
104.2003467,30.56937921,65,74,60,
104.1993904,30.56999813,66,65,63,
104.2001585,30.56983586,47,57,52,
104.1985993,30.56949101,50,56,52,
104.1990735,30.57110176,46,50,48,
104.200555,30.57021762,54,54,49,
104.201021,30.57066927,51,54,48,
104.2013445,30.56938577,38,47,46,
104.2019719,30.56982073,49,46,57,
104.2032803,30.57036041,43,52,48,
104.2036169,30.57097729,39,55,47,
104.204604,30.56984809,46,49,50,
104.2057877,30.56810034,56,47,49,
104.2046787,30.56768965,65,55,51,
104.2029551,30.56864883,39,56,43,
104.2018036,30.56801378,41,45,47,
104.2042461,30.56898476,41,41,41,
104.2038113,30.56913004,38,39,37,
104.2021304,30.570474,38,40,38,
104.2009513,30.56914838,39,47,40,
104.2015764,30.56876529,35,43,44,
104.2013594,30.56824242,37,42,47,
104.2060488,30.56743156,57,63,63,
104.2067271,30.56871488,56,67,66,
104.2073008,30.56973586,58,62,59,
104.2064374,30.57014574,47,53,49,
104.2057557,30.57046236,46,47,43,
104.2046908,30.57080437,41,52,42,
104.2036499,30.57126251,42,44,40,
104.206908,30.56972852,47,53,54,
104.206004,30.56814699,43,48,48,
